번호,수어 표제어 번호,수형설명,한국어 대응표현,결합정보,대/중 분류
82,23902,오른 주먹의 1·2지를 펴서 1·2지 바닥으로 턱을 왼쪽에서 오른쪽으로 스쳐 올린다.,영국,,일상생활 수어 > 나라명 및 지명 > 나라명
83,23899,오른 주먹의 손목을 코밑에 대고 돌린다.,아프리카,,일상생활 수어 > 나라명 및 지명 > 나라명
84,23898,반쯤 구부린 오른손의 1·5지 옆면을 오른쪽 눈 앞에 대고 손가락을 두 번 구부렸다 편다.,아르헨티나,,일상생활 수어 > 나라명 및 지명 > 나라명
85,23897,오른 주먹의 바닥으로 왼 손바닥을 손끝 쪽으로 두 번 문지른다(그릇을 씻는 경우).,"씻다,닦다",,일상생활 수어 > 삶 > 삶의 행위
86,23895,오른 주먹의 2지를 펴서 등이 위로 끝이 위쪽으로 향하게 비스듬히 세워 당겼다가 내민다(대포를 쏘는 경우).,"쏘다,대포,발사,포",,일상생활 수어 > 기타
87,23893,"왼손을 구부려 손바닥이 위로 향하게 하여 내 놓고, 그 뒤에서 모로 세운 오른 주먹의 1·5지를 펴서 1지를 구부리며 반동의 동작을 한다(장총을 쏘는 경우).",사격,,일상생활 수어 > 기타
88,23891,"두 주먹의 1·5지를 펴서 5지 끝을 양쪽 관자놀이에 대고 세운 다음, 두 손으로 케이프(붉은천)를 잡고 좌우로 흔드는 동작을 한다.",스페인,,일상생활 수어 > 나라명 및 지명 > 나라명
89,23890,"오른 주먹의 1지를 펴서 끝으로 치아를 가리키고, 두 주먹의 1지로 ‘+’자 모양을 만들어 이마에 댄다.",스위스,,일상생활 수어 > 나라명 및 지명 > 나라명
90,23887,"오른 주먹의 1·5지로, 펴서 세운 온 주먹의 5지를 잡았다가 오른손만 올리며 1·5지 끝을 붙인다.","뽑다,당선,입선,선출",,일상생활 수어 > 기타
91,23882,둥글게 구부린 왼손을 모로 세우고 그 안에 오른 주먹의 1지를 펴서 넣어 돌린다.,브라질,,일상생활 수어 > 나라명 및 지명 > 나라명
92,23877,"왼쪽 옆구리에 끼고 있는 신문을 오른손으로 잡아 빼서 밖으로 던지는 동작을 한 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워  양옆으로 벌린다(신문이나 편지를 배달하는 경우).",(신문)배달원,,일상생활 수어 > 기타
93,23875,손바닥이 위로 손끝이 밖으로 향하게 비스듬히 세운 오른손을 안으로 당긴다(예의를 갖추지 않아도 좋을 경우).,받다,,일상생활 수어 > 사회생활 > 사회 활동
94,23874,"오른주먹의 1지 위에 2지를 올려놓은 다음, 아래를 향해 튕겼다가 올리며 1·2지를 떨어뜨린다.","바닥나다,비다,비우다",,일상생활 수어 > 기타
95,23873,손등이 위로 향하게 두 손을 펴서 상하로 겹쳐 댔다가 양옆으로 벌린다.,바닥,,일상생활 수어 > 기타
96,23872,"오른 주먹의 1지를 펴서 오른쪽 관자놀이에 댄 후, 손바닥이 밖으로 향하게 손가락을 구부린 두 손을 오른손이 약간 위에 놓이게 하여 얼굴 양 옆에서 좌우로 약간 흔든다.",미치다,,일상생활 수어 > 기타
